
========== REPORT ==========
[OK] Totals | Stores=32 | Categories=112 | Unique=23992 | New=0 | Restored=0 | Removed=2 | PriceChanges=0 | Runtime=  1284s

FAILED CATEGORIES (13)
  ✗ Gull Liquor | Whisky
Whisky Drop | Whisky                               2     267     0     0     0     0     6.1s
Vine Arts | Rum                                    1      27     0     0     0     0     2.9s
Whisky Drop | Rum                                  1      15     0     0     0     0     2.7s
Vine Arts | Gin                                    1      22     0     0     0     0     2.8s
Whisky Drop | Gin                                  1      13     0     0     0     0     2.7s
Highlander Wine & Spirits | Whiskey                1      80     0     0     0     0     2.1s
Highlander Wine & Spirits | Rum                    1      12     0     0     0     0     3.7s
Highlander Wine & Spirits | Gin                    1       7     0     0     0     0     3.6s
Rocky Mountain Wine Spirits Beer | Whiskey         1      56     0     0     0     0     2.1s
Liberty Wine Merchants | Whisky                    4     386     0     0     0     0      13s
Rocky Mountain Wine Spirits Beer | Rum             1       0     0     0     0     0     3.3s
Liberty Wine Merchants | Rum                       1      51     0     0     0     0     3.6s
Rocky Mountain Wine Spirits Beer | Gin             1      12     0     0     0     0     3.6s
Liberty Wine Merchants | Gin                       1      64     0     0     0     0     3.8s
New District | Whiskey                             5      72     0     0     0     0      13s
New District | Rum                                 2      25     0     0     0     0     7.9s
New District | Gin                                 4      49     0     0     0     0      13s
High Point BWS | Whiskey                          16     239     0     0     0     0      42s
High Point BWS | Rum                               4      57     0     0     0     0      13s
Silver Springs Liquor | Scotch Whisky              9     176     0     0     0     0      24s
High Point BWS | Gin                               5      68     0     0     0     0      16s
Kensington Wine Market | Scotch                  111     998     0     0     0     0     557s
CLB Spirits | Whisky                              40    1785     0     0     0     0     110s
Silver Springs Liquor | US Whiskey                 3      54     0     0     0     0      11s
Silver Springs Liquor | Canadian Whiskey           3      43     0     0     0     0      11s
Silver Springs Liquor | Irish Whiskey              2      15     0     0     0     0     8.1s
CLB Spirits | Rum                                  9     271     0     0     0     0      24s
Silver Springs Liquor | World Whisky               2      14     0     0     0     0     8.1s
CLB Spirits | Gin                                  2     247     0     0     0     0     5.5s
Silver Springs Liquor | Japanese Whisky            2       6     0     0     0     0     8.0s
Kensington Wine Market | Rum                       7      61     0     0     0     0      41s
Silver Springs Liquor | Rum                        3      46     0     0     0     0      11s
Liquorama | Whisky                                 0     259     0     0     0     0      49s
Marquis Wine Cellars | Whisky                      0      47     0     0     0     0      19s
Liquorama | Rum                                    0      66     0     0     0     0     7.9s
Silver Springs Liquor | Gin                        2      33     0     0     0     0     8.2s
Marquis Wine Cellars | Rum                         0      19     0     0     0     0     8.7s
Liquorama | Gin                                    0      29     0     0     0     0     5.3s
Marquis Wine Cellars | Gin                         0      20     0     0     0     0     8.7s
Kensington Wine Market | Gin                       8      65     0     0     0     0      59s
Wine and Beyond | Whiskey                          0    1002     0     0     0     0     899s
Wine and Beyond | Rum                              0     251     0     0     0     0     246s
Wine and Beyond | Gin                              0     141     0     0     0     0     139s

NEW LISTINGS (0)

RESTORED (0)

REMOVED (2)
- BSW | Scotch Whisky          | Glen Scotia Victoriana 774969  $115.00 (Available at CLB Spirits)
  https://www.bswliquor.com/products/glen-scotia-victoriana-cask
- ZYN The Wine Market | Whisky | Sweet Sippin Maple Whisky 738379  $37.20 (Available at Wine and Beyond)
  https://zyn.ca/products/sweet-sippin-maple-whisky

PRICE CHANGES (0)

======== END REPORT ========
